id	nombre	salario
1	NICOLAS	1081
2	DANIEL	755
3	MARCO	2824
4	MARC	650
5	ALONSO	2529
6	RUBEN	2998
7	JOEL	1275
8	JOSE	1076
9	ISMAEL	1049
10	MANUEL	2823
11	ALBERTO	729
12	GONZALO	1633
13	SAMUEL	1116
14	NICOLAS	1505
15	ERIK	895
16	MIGUEL ANGEL	2981
17	ADRIAN	1820
18	HECTOR	702
19	SANTIAGO	2989
20	ERIK	2822
21	MATEO	2277
22	JOEL	2996
23	JOSE	2496
24	MARCOS	2051
25	BRUNO	2747
26	CARLOS	1566
27	JORGE	1746
28	JAIME	1157
29	DAVID	2437
30	ANDRES	2523
31	BIEL	1436
32	AITOR	725
33	MARIO	1949
34	AITOR	2424
35	GAEL	2869
36	GUILLERMO	1843
37	BIEL	1524
38	IZAN	2504
39	ANTONIO	944
40	ENRIQUE	715
41	MIGUEL ANGEL	1238
42	RAFAEL	2401
43	ENRIQUE	1873
44	JOSE MANUEL	2596
45	JON	1440
46	JOEL	1103
47	RODRIGO	2162
48	FRANCISCO	2408
49	NICOLAS	1693
50	ALBERTO	1457
51	SAUL	2269
52	ANDRES	1935
53	CRISTIAN	1947
54	ISMAEL	775
55	ALONSO	1708
56	ANGEL	1904
57	IVAN	2436
58	ASIER	2673
59	RAYAN	821
60	DAVID	838
61	ANTONIO	2299
62	LUCAS	2808
63	SANTIAGO	2467
64	MARIO	2641
65	ORIOL	1051
66	ANDER	2168
67	ALEIX	2795
68	YAGO	1135
69	ARNAU	867
70	JORDI	2287
71	BRUNO	2057
72	ALONSO	1186
73	JAN	1151
74	MARTIN	755
75	JOEL	1601
76	ALVARO	2669
77	AITOR	2283
78	BIEL	2967
79	IAN	1196
80	JOAN	1803
81	DIEGO	2996
82	VICTOR	957
83	CRISTIAN	2796
84	RUBEN	1359
85	SAMUEL	2354
86	NIL	2153
87	ISAAC	710
88	RAUL	2388
89	JON	2595
90	OSCAR	2913
91	LEO	2512
92	PABLO	2442
93	JESUS	1197
94	JON	1365
95	AARON	955
96	ISMAEL	2414
97	MIKEL	706
98	PEDRO	951
99	MIGUEL ANGEL	2859
100	ERIK	1909
101	DIEGO	2462
102	GUILLERMO	844
103	ORIOL	1239
104	CRISTIAN	2289
105	PAU	1799
106	JOAN	1650
107	FERNANDO	673
108	ROBERTO	2774
109	GAEL	640
110	PAU	2334
111	ALEJANDRO	871
112	JESUS	2282
113	ALBERTO	1294
114	MIGUEL ANGEL	2963
115	GUILLEM	2413
116	DANIEL	1240
117	RAYAN	2536
118	MARCOS	2127
119	ORIOL	2231
120	ERIK	2376
121	DARIO	1509
122	ASIER	1622
123	OLIVER	757
124	LEO	2183
125	MARTIN	1769
126	CESAR	2141
127	DIEGO	619
128	LUCAS	1189
129	DIEGO	1998
130	UNAI	2155
131	JORDI	1758
132	YAGO	756
133	MARCOS	1585
134	CESAR	1877
135	JOEL	2101
136	ENRIQUE	2551
137	CESAR	907
138	JOEL	2344
139	ADRIAN	2279
140	IGNACIO	615
141	ENRIQUE	1277
142	DAVID	904
143	LUCAS	2262
144	IKER	2002
145	ADRIAN	1077
146	ALEX	1849
147	ALVARO	2798
148	ALVARO	2058
149	DARIO	2556
150	SAUL	1241
151	IGNACIO	2472
152	IGNACIO	1172
153	ISMAEL	1304
154	IAN	2457
155	NICOLAS	1428
156	EDUARDO	1107
157	FRANCISCO JAVIER	1578
158	JAVIER	1186
159	SAUL	1094
160	MIKEL	1611
161	BIEL	1995
162	JAVIER	2335
163	OSCAR	2441
164	FERNANDO	2857
165	LEO	2513
166	LEO	2645
167	GUILLERMO	2571
168	JOSE MANUEL	1113
169	IKER	1005
170	AARON	2319
171	EDUARDO	1650
172	IGNACIO	1035
173	JON	2158
174	DANIEL	2601
175	MARTI	1849
176	JOSE ANTONIO	2050
177	IVAN	600
178	VICTOR	2909
179	JORGE	2550
180	ISAAC	2206
181	ISMAEL	660
182	HECTOR	2994
183	ENRIQUE	1686
184	JOEL	2733
185	GERARD	2612
186	GABRIEL	740
187	OSCAR	2046
188	RUBEN	1726
189	YERAY	2045
190	RODRIGO	2403
191	ISAAC	2376
192	VICTOR	767
193	CARLOS	2471
194	DAVID	648
195	PEDRO	1347
196	MARCOS	1555
197	GAEL	1495
198	OSCAR	2569
199	MIGUEL ANGEL	688
200	ASIER	2032
201	BRUNO	2484
202	MIGUEL	1052
203	IGNACIO	1763
204	JON	1754
205	EDUARDO	1831
206	JAIME	713
207	ENRIQUE	1479
208	LUIS	1575
209	RUBEN	609
210	VICTOR	1540
211	ISAAC	1602
212	MARTI	1479
213	VICTOR	2776
214	ANTONIO	2548
215	AARON	2649
216	AARON	1795
217	DIEGO	1420
218	UNAI	1606
219	RODRIGO	2693
220	ARNAU	1314
221	IZAN	2744
222	ALONSO	2665
223	ARNAU	1120
224	MARCO	2867
225	CRISTIAN	2440
226	OLIVER	1549
227	VICTOR	1745
228	RODRIGO	2765
229	BIEL	2933
230	ORIOL	2335
231	BIEL	1970
232	HUGO	1432
233	MIGUEL	1569
234	ADAM	2755
235	BIEL	1244
236	ASIER	2805
237	JOAN	1404
238	SANTIAGO	937
239	PEDRO	949
240	IVAN	2781
241	FERNANDO	1160
242	GERARD	1900
243	ISAAC	889
244	YAGO	2637
245	GUILLEM	2286
246	SAMUEL	1016
247	YERAY	1517
248	RAFAEL	988
249	LUCAS	2258
250	DAVID	1036
251	GONZALO	1619
252	NICOLAS	1176
253	JAIME	1324
254	SAUL	1666
255	GAEL	1314
256	AITOR	2646
257	AITOR	2134
258	HECTOR	2826
259	ORIOL	1500
260	IZAN	2118
261	ANDER	2756
262	CRISTIAN	1403
263	OLIVER	1369
264	MARCOS	1745
265	OSCAR	1973
266	RAFAEL	1818
267	JOSE ANTONIO	2382
268	BRUNO	2988
269	ENRIQUE	724
270	IVAN	671
271	NIL	2892
272	MIGUEL	982
273	LUIS	1934
274	JON	1848
275	VICTOR	1264
276	ALEIX	915
277	PAU	671
278	FERNANDO	2426
279	LUCAS	1595
280	HUGO	2622
281	JESUS	2463
282	CARLOS	1871
283	BRUNO	645
284	POL	901
285	YAGO	697
286	JUAN	1966
287	JON	2778
288	ALEJANDRO	1143
289	IAN	1025
290	DANIEL	2895
291	JOEL	2453
292	ADRIA	2045
293	NICOLAS	1770
294	GONZALO	2002
295	BIEL	1401
296	POL	2536
297	ALBERTO	2453
298	MARIO	2967
299	ALEIX	2451
300	FERNANDO	2745
301	PABLO	2665
302	MATEO	1564
303	NIL	1761
304	FRANCISCO	2409
305	ERIC	2601
306	ADAM	1853
307	IAN	2767
308	ERIC	898
309	RODRIGO	1525
310	UNAI	1146
311	JORGE	1909
312	MOHAMED	2868
313	PEDRO	1231
314	SAUL	2670
315	MARC	1413
316	OLIVER	1066
317	HUGO	2703
318	ANGEL	679
319	CARLOS	2415
320	IAN	2212
321	OLIVER	725
322	CRISTIAN	2289
323	RODRIGO	1642
324	MARCO	1025
325	GUILLEM	2927
326	VICTOR	1981
327	ADRIAN	2535
328	BIEL	924
329	IKER	1015
330	ALONSO	1543
331	JOEL	1580
332	MANUEL	2406
333	DARIO	2747
334	ALVARO	2015
335	PABLO	1437
336	ERIC	2237
337	MARCOS	2591
338	NICOLAS	2036
339	ADRIA	2945
340	JAIME	2412
341	HUGO	2706
342	ISAAC	1173
343	MARCO	1002
344	AITOR	694
345	ROBERTO	2044
346	JUAN	2387
347	OSCAR	1317
348	JUAN	1628
349	IVAN	2114
350	GUILLERMO	1631
351	ASIER	2962
352	RUBEN	2480
353	ALEIX	1683
354	NIL	2621
355	JOAN	1979
356	MARCO	1213
357	OLIVER	2858
358	PABLO	1730
359	ANDER	1449
360	IGNACIO	2877
361	YERAY	2707
362	FRANCISCO JAVIER	2681
363	AARON	2440
364	AITOR	1931
365	YERAY	1897
366	FRANCISCO	2003
367	GABRIEL	2142
368	UNAI	2119
369	RODRIGO	1220
370	JUAN	1837
371	JORGE	856
372	GABRIEL	1926
373	ALEIX	896
374	ADRIAN	1640
375	ASIER	1492
376	ARNAU	2043
377	IGNACIO	2266
378	JESUS	1813
379	VICTOR	2627
380	EDUARDO	2163
381	FRANCISCO JAVIER	1766
382	ADRIA	874
383	ALBERTO	1554
384	JOAN	2703
385	ALVARO	789
386	ALBERTO	1015
387	RAFAEL	2096
388	MIGUEL ANGEL	654
389	GONZALO	2721
390	RAUL	857
391	CRISTIAN	1457
392	IGNACIO	1635
393	DAVID	2084
394	PABLO	2814
395	ADRIA	980
396	NICOLAS	754
397	ARNAU	1732
398	SERGIO	2233
399	MARCO	1280
400	JORDI	604
401	LEO	2738
402	LUCAS	2299
403	GERARD	1937
404	CARLOS	1607
405	MARC	1057
406	ALVARO	693
407	MIGUEL	1409
408	DANIEL	1514
409	CARLOS	2264
410	JOSE MANUEL	2931
411	RAYAN	1258
412	YAGO	1048
413	HECTOR	2993
414	OSCAR	1452
415	RAFAEL	1991
416	GUILLERMO	2565
417	YERAY	1839
418	CARLOS	2640
419	JOAN	1445
420	JOEL	2441
421	UNAI	1503
422	ADRIA	1324
423	ORIOL	2337
424	OSCAR	2502
425	FRANCISCO	2929
426	LEO	2844
427	JOSE ANTONIO	1230
428	JOSE MANUEL	2481
429	SAMUEL	2152
430	NICOLAS	2243
431	BIEL	2016
432	UNAI	1098
433	CRISTIAN	2012
434	UNAI	1142
435	JOSE ANTONIO	1436
436	MARIO	1729
437	JOSE	2489
438	JOSE ANTONIO	1610
439	ENRIQUE	2584
440	RAUL	2689
441	BIEL	2945
442	IVAN	1450
443	HECTOR	2627
444	MARIO	2592
445	AITOR	991
446	GONZALO	659
447	ORIOL	2198
448	OSCAR	1911
449	RAFAEL	2725
450	IVAN	2371
451	SANTIAGO	1436
452	MATEO	1429
453	FERNANDO	2766
454	ERIK	1518
455	JOEL	2610
456	EDUARDO	1908
457	ANDER	1269
458	ALEX	2013
459	IZAN	1121
460	RODRIGO	2544
461	PABLO	927
462	ALBERTO	1859
463	ALONSO	2433
464	JON	2023
465	MARIO	2180
466	JOSE MANUEL	1888
467	RODRIGO	2357
468	FERNANDO	748
469	MARTI	1090
470	GUILLERMO	1521
471	ERIC	1324
472	ALONSO	968
473	BRUNO	814
474	MOHAMED	2673
475	ALEJANDRO	2987
476	ERIK	1347
477	ERIC	732
478	ERIK	2902
479	HUGO	1394
480	IZAN	643
481	DARIO	2998
482	JESUS	682
483	RUBEN	1615
484	JON	621
485	ALONSO	2895
486	SANTIAGO	2621
487	GONZALO	2735
488	HUGO	1330
489	JUAN	2440
490	JAN	2165
491	ISAAC	2816
492	YERAY	934
493	POL	1253
494	MARC	1295
495	ALBERTO	1800
496	MARIO	1954
497	FRANCISCO	1089
498	FERNANDO	2952
499	MATEO	2045
500	IKER	2798
501	ALONSO	1609
502	MIGUEL	852
503	HECTOR	2716
504	SANTIAGO	2793
505	JORGE	1935
506	CESAR	1430
507	LUIS	625
508	VICTOR	928
509	FERNANDO	1706
510	DIEGO	1671
511	FRANCISCO JAVIER	1935
512	JAN	2318
513	UNAI	2296
514	HUGO	938
515	ENRIQUE	1357
516	ADRIAN	1924
517	BIEL	1084
518	ANTONIO	2840
519	IGNACIO	635
520	BRUNO	2738
521	ALBERTO	2261
522	RAUL	2990
523	DIEGO	1831
524	JORGE	1091
525	ROBERTO	1548
526	JOAN	2227
527	FRANCISCO JAVIER	1124
528	MATEO	1963
529	IZAN	1251
530	AITOR	2484
531	POL	2980
532	YAGO	606
533	AARON	2672
534	IAN	1098
535	NICOLAS	1972
536	JOAN	2774
537	RAFAEL	2194
538	CRISTIAN	1426
539	IKER	2627
540	JOAN	1454
541	ALEJANDRO	1534
542	GABRIEL	1249
543	JON	1737
544	IAN	1085
545	NICOLAS	1319
546	ARNAU	1917
547	MARTIN	2594
548	FRANCISCO JAVIER	2749
549	SAUL	605
550	ALBERTO	988
551	JOSE	2300
552	DARIO	1488
553	CARLOS	2164
554	FRANCISCO	2588
555	MATEO	2557
556	NIL	1189
557	SAUL	2550
558	PEDRO	1369
559	ALBERTO	1646
560	JOSE MANUEL	803
561	SAUL	658
562	YAGO	1433
563	DARIO	2773
564	IZAN	831
565	CESAR	1860
566	ALEJANDRO	2806
567	ADAM	1859
568	BRUNO	1201
569	ROBERTO	1451
570	PAU	865
571	JOAN	677
572	JOSE	1592
573	LUIS	2370
574	DARIO	758
575	POL	874
576	IKER	2345
577	ENRIQUE	1362
578	ORIOL	2790
579	SANTIAGO	1178
580	ADAM	1173
581	ANDER	608
582	NICOLAS	2332
583	MOHAMED	1035
584	VICTOR	1940
585	GUILLEM	2189
586	MANUEL	1652
587	ENRIQUE	2183
588	PEDRO	773
589	ANDRES	1723
590	ALEIX	2032
591	RUBEN	2474
592	MOHAMED	1474
593	AARON	2482
594	FERNANDO	1366
595	RODRIGO	2754
596	OLIVER	1983
597	MANUEL	2436
598	ANTONIO	1842
599	MOHAMED	2040
600	RAUL	2480
601	GONZALO	1990
602	SANTIAGO	2542
603	ALBERTO	620
604	RAUL	1345
605	MIGUEL ANGEL	2026
606	OMAR	2176
607	LUIS	1985
608	FERNANDO	2816
609	ALONSO	2496
610	ADRIA	2424
611	MANUEL	1254
612	YAGO	2711
613	JUAN	664
614	MARCOS	1035
615	YERAY	631
616	NIL	1863
617	JAN	2392
618	MARC	2325
619	LUIS	822
620	ADRIAN	945
621	JAVIER	2594
622	RAFAEL	678
623	GUILLEM	618
624	ANGEL	2971
625	RAYAN	1449
626	MIGUEL	1107
627	CRISTIAN	1515
628	ALBERTO	1893
629	IGNACIO	2874
630	ARNAU	2298
631	ROBERTO	2996
632	SANTIAGO	939
633	ALEIX	1691
634	IKER	1754
635	MARIO	2002
636	SAMUEL	1567
637	ADRIA	2871
638	PEDRO	2955
639	DANIEL	654
640	ANDRES	2556
641	HUGO	2301
642	MARTIN	2170
643	JORGE	2466
644	GAEL	691
645	PEDRO	957
646	JUAN	1875
647	IVAN	1995
648	SANTIAGO	2989
649	IAN	1387
650	DAVID	1194
651	ADAM	1249
652	JORDI	686
653	JOSE	2343
654	UNAI	725
655	PEDRO	2071
656	ANGEL	1177
657	GUILLEM	1238
658	JOSE	2781
659	DARIO	1797
660	JAIME	1830
661	BIEL	2338
662	HECTOR	1386
663	MARCOS	1810
664	LEO	1448
665	ANDRES	2402
666	AARON	1604
667	IVAN	2824
668	POL	1478
669	ANDRES	2325
670	ORIOL	2599
671	ALBERTO	749
672	VICTOR	1936
673	FRANCISCO JAVIER	881
674	ORIOL	1187
675	ADRIA	1788
676	FRANCISCO JAVIER	772
677	IKER	1865
678	JOEL	725
679	GABRIEL	1051
680	JAVIER	804
681	JAIME	2646
682	IKER	1368
683	VICTOR	803
684	LUIS	2305
685	IZAN	2768
686	ISMAEL	1860
687	SERGIO	2145
688	JOSE MANUEL	2417
689	FERNANDO	861
690	MATEO	1559
691	ROBERTO	943
692	RODRIGO	1523
693	ADAM	2197
694	MOHAMED	2447
695	MANUEL	1862
696	CRISTIAN	1683
697	LEO	872
698	JAN	881
699	LEO	1685
700	PEDRO	1380
701	JOAN	2762
702	AARON	1781
703	GABRIEL	718
704	RAFAEL	1902
705	GUILLEM	2320
706	ADAM	2778
707	JOSE MANUEL	1983
708	DANIEL	2054
709	ARNAU	1853
710	ORIOL	1149
711	RAUL	1809
712	OLIVER	1990
713	BIEL	2636
714	JOAN	964
715	UNAI	2052
716	JOSE ANTONIO	902
717	IAN	660
718	MARTIN	833
719	CESAR	1909
720	ORIOL	798
721	MARTIN	2189
722	MARCO	1318
723	LEO	610
724	MARCO	1155
725	ADAM	906
726	MIGUEL ANGEL	1056
727	GERARD	1557
728	AITOR	2588
729	LEO	2306
730	GABRIEL	2769
731	LUIS	2974
732	FRANCISCO	2783
733	MARC	946
734	RAUL	965
735	ADRIAN	1139
736	MARCO	1635
737	AARON	774
738	ASIER	1694
739	MIGUEL ANGEL	710
740	MOHAMED	2553
741	IVAN	2957
742	JAN	2890
743	ANGEL	2348
744	RAFAEL	903
745	DAVID	1129
746	NICOLAS	2674
747	ERIC	1719
748	ADAM	2047
749	ASIER	2226
750	FRANCISCO JAVIER	2533
751	JON	2575
752	DIEGO	1744
753	SANTIAGO	623
754	ISMAEL	1113
755	LUCAS	1787
756	ISMAEL	1065
757	JAIME	2357
758	PAU	1707
759	RAYAN	1208
760	SAMUEL	1979
761	ALBERTO	1029
762	UNAI	2487
763	JOEL	1355
764	MIGUEL ANGEL	2177
765	MIGUEL ANGEL	2004
766	RAYAN	849
767	GUILLERMO	2255
768	CESAR	1035
769	MARCO	2515
770	JOAN	972
771	JOAN	1068
772	POL	1143
773	JUAN	1896
774	IAN	2693
775	PEDRO	2483
776	JAVIER	2735
777	MANUEL	2182
778	ANDRES	2959
779	HECTOR	1442
780	JOEL	2340
781	IZAN	1778
782	ERIC	673
783	IGNACIO	2824
784	JORDI	1781
785	JAIME	2979
786	JOSE ANTONIO	2490
787	ANGEL	1385
788	JESUS	1120
789	MARCO	938
790	LUCAS	2260
791	FRANCISCO	2996
792	ARNAU	784
793	PEDRO	1409
794	VICTOR	2568
795	ERIC	1236
796	RUBEN	1040
797	PEDRO	1594
798	GONZALO	2361
799	RODRIGO	617
800	GABRIEL	1998
801	RAYAN	1479
802	MARC	2739
803	ALBERTO	1657
804	IVAN	2442
805	SAUL	2665
806	FERNANDO	2097
807	ISAAC	2490
808	JORDI	1813
809	FERNANDO	1815
810	MIKEL	1522
811	VICTOR	1604
812	VICTOR	2353
813	IKER	1817
814	SAMUEL	888
815	ADAM	1987
816	FRANCISCO JAVIER	2987
817	IZAN	1094
818	MARCOS	1470
819	PEDRO	1481
820	AITOR	1670
821	CARLOS	2661
822	ADRIAN	1919
823	DARIO	1969
824	JAN	1560
825	IGNACIO	2172
826	GUILLEM	1881
827	MIKEL	1850
828	ANDER	2814
829	RAYAN	2536
830	MATEO	908
831	ANTONIO	681
832	ERIC	2475
833	BRUNO	1726
834	ISAAC	1587
835	SANTIAGO	2079
836	MIKEL	2815
837	ERIC	2395
838	GAEL	1697
839	SAMUEL	2063
840	SANTIAGO	1747
841	GUILLERMO	2631
842	JESUS	2310
843	ALONSO	1974
844	POL	1739
845	JORDI	2449
846	JOSE ANTONIO	708
847	ADAM	1410
848	MIGUEL	980
849	RAYAN	624
850	ALEX	1948
851	MIGUEL	1098
852	ALVARO	1973
853	MARTI	2409
854	JAIME	2889
855	LUIS	2245
856	ALBERTO	1280
857	ANGEL	2429
858	CESAR	859
859	MARTI	1465
860	MARTIN	2019
861	ENRIQUE	2376
862	UNAI	1420
863	ALEIX	2393
864	ALBERTO	2654
865	JAIME	2673
866	RAFAEL	1781
867	SANTIAGO	2560
868	OSCAR	1216
869	RAFAEL	1664
